County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference,longitude,latitude
Kings,750009,Store,JAC,NEW MAKKI GROCERY INC,NEW MAKKI GROCERY,1101,CONEY ISLAND AVE,,,BROOKLYN,NY,11230,0,-73.96634 40.63075,-73.96634,40.63075
Bronx,750001,Store,JAC,MEXICO TACO RICO CORP,MEXICO TACO RICO,264,E GUN HILL RD,,,BRONX,NY,10467,0,-73.87558 40.87968,-73.87558,40.87968
Bronx,749997,Store,JAC,LA TIENDITA DONA FIDE CORP,LA TIENDITA DONA FIDE,2210,WESTCHESTER,,,BRONX,NY,10462,0,-73.85117 40.83428,-73.85117,40.83428
New York,749988,Store,A,188 FOOD MARKET CORP,188 FOOD MARKET,1659,ST NICHOLAS AVE,,,NEW YORK,NY,10040,0,-73.92826 40.85699,-73.92826,40.85699
Bronx,749978,Store,A,MODINA FRUIT & VEGETABLE CORP,MODINA FRUIT & VEGETABL,966A,WESTCHESTER AVE,,,BRONX,NY,10459,0,-73.89559 40.82278,-73.89559,40.82278
New York,749975,Store,JAC,AMG RETAIL I LLC,MOBIL,466,10TH AVE,,,NEW YORK,NY,10018,0,-73.99798 40.75618,-73.99798,40.75618
Queens,749972,Store,JAC,A&E SUPERMARKET INC,A&E SUPERMARKET,117-31,FARMERS BLVD,,,SAINT ALBANS,NY,11412,5000,-73.76226 40.69071,-73.76226,40.69071
Kings,749960,Store,JAC,UNIK GOURMET INC,UNIK GOURMET,1549,DEKALB AVENUE,,,BROOKLYN,NY,11237,0,-73.92072 40.70279,-73.92072,40.70279
Queens,749951,Store,JAC,ELEVEN MADISON HOME LLC,ELEVEN MADISON HOME,38-03,24TH STREET,,,LONG ISLAND CITY,NY,11101,0,-73.93675 40.75605,-73.93675,40.75605
Queens,749948,Store,JAC,SAPORI NYC INC,SALUMERIA ANTICHI SAPOR,2813,ASTORIA BLVD,,,ASTORIA,NY,11102,0,-73.92025 40.77064,-73.92025,40.77064
Kings,749905,Store,JAC,BAC P SAN,PHILS TRADING INC,2521,ATLANTIC AVE,,,BROOKLYN,NY,11207,0,-73.90122 40.67572,-73.90122,40.67572
Bronx,749892,Store,JAC,RODRIGUEZ PRODUCTOS MEXICANOS INC,RODRIGUEZ PRODUCTOS MEX,190,EAST 166TH STREET,,,BRONX,NY,10456,0,-73.91868 40.83155,-73.91868,40.83155
Queens,749889,Store,JAC,METRO VARIETY INC,METRO VARIETY,67-36,METROPOLITAN AVE,,,MIDDLE VILLAGE,NY,11379,0,-73.88809 40.71226,-73.88809,40.71226
Queens,749874,Store,JAC,KING OF KINGS FISH MARKET #1 INC,KING OF KING'S FISH MAR,114-38,SUTPHIN BLVD,,,JAMAICA,NY,11434,0,-73.79314 40.68535,-73.79314,40.68535
Queens,749854,Store,A,FIFTEEN TWENTY INC,FIFTEEN TWENTY,2534,STEINWAY ST UNIT C-2,,,ASTORIA,NY,11103,0,-73.91244 40.76704,-73.91244,40.76704
New York,749835,Store,A,ISARA MEXICAN TAQUERIA LLC,PUEBLO MAGICO GROCERY 2,1512,AMSTERDAM AVE,,,NEW YORK,NY,10031,0,-73.95244 40.81862,-73.95244,40.81862
Queens,749795,Store,A,SAF ENTERPRISE INC I,SAF ENTERPRISE,4220,BROADWAY,,,ASTORIA,NY,11103,0,-73.91674 40.75791,-73.91674,40.75791
Kings,749756,Store,JAC,FRANTON FOOD CORP,FINE FARE SUPERMARKET,1498,FLATBUSH AVENUE,,,BROOKLYN,NY,11210,0,-73.94914 40.63424,-73.94914,40.63424
Kings,749699,Store,A,CARROLL STREET DISCOUNT CORP,CARROLL STREET DISCOUNT,888,FRANKLIN AVE,,,BROOKLYN,NY,11225,0,-73.95888 40.66815,-73.95888,40.66815
Kings,749697,Store,JAC,BELMONT FRESH FRUIT MARKET LLC,BELMONT FRESH FRUIT MAR,51,BELMONT STREET,,,BROOKLYN,NY,11212,0,-73.90841 40.66873,-73.90841,40.66873
New York,749675,Store,JAC,PINSU FOODS INC,NOHO FOOD MARKET,352,BOWERY,,,NEW YORK,NY,10012,0,-73.99168 40.7267,-73.99168,40.7267
Kings,749672,Store,JAC,JIGGAS JERK SPOT LLC,JIGGAS JERK SPOT,297,LEGION STREET,,,BROOKLYN,NY,11212,0,-73.9164 40.66131,-73.9164,40.66131
New York,749612,Store,JAC,EATS ON 48 MARKETPLACE LLC,EATS ON 48 MARKETPLACE,697,9TH AVENUE,,,NEW YORK,NY,10036,0,-73.98993 40.76214,-73.98993,40.76214
Kings,749611,Store,JAC,KINGS ECONOMIC FOOD MARKET INC,KINGS ECONOMIC FOOD MAR,9424,KINGS HIGHWAY,,,BROOKLYN,NY,11212,0,-73.92048 40.65848,-73.92048,40.65848
Queens,749606,Store,JAC,RM ENTERPRISES NEW YORK LLC,TONY'S JAMAICA MARKET 1,94-20,SUTPHIN BLVD,,,JAMAICA,NY,11435,0,-73.80654 40.69853,-73.80654,40.69853
Kings,749604,Store,A,O&J GROCERY & DISCOUNT CORP,O&J GROCERY & DISCOUNT,4802,4TH AVE,,,BROOKLYN,NY,11220,0,-74.01155 40.64753,-74.01155,40.64753
Kings,749579,Store,JAC,MI RANCHITO CORP,WHOLESOME BITES,139,5TH AVE,,,BROOKLYN,NY,11217,0,-73.97918 40.67829,-73.97918,40.67829
New York,749577,Store,JAC,M&G FRESH PRODUCE CORP,M&G FRESH PRODUCE,3347,BROADWAY,,,NEW YORK,NY,10031,0,-73.9549 40.82051,-73.9549,40.82051
Kings,749573,Store,A,SUPER DEAL OUTLET INC,SUPER DEAL OUTLET,741,FLATBUSH AVE,,,BROOKLYN,NY,11226,0,-73.95968 40.65474,-73.95968,40.65474
Kings,749540,Store,JAC,HALAL MEAT & VEGETABLES INC,HALAL MEAT & VEGETABLES,1667,NOSTRAND AVENUE ATTN: SHAHEE,,,BROOKLYN,NY,11226,0,-73.94899 40.64544,-73.94899,40.64544
Kings,749529,Store,A,SK JHAL MURI INC,SK JHAL MURI,505,CHURCH AVE,,,BROOKLYN,NY,11218,0,-73.9754 40.64452,-73.9754,40.64452
Kings,749528,Store,A,TAS MARKET CORP,TAS MARKET,2520,LINDEN BLVD,,,BROOKLYN,NY,11208,0,-73.871 40.66706,-73.871,40.66706
Queens,749514,Store,JAC,FITRITION HOLDING CORP,FITRITION,126-20,ROCKWAY BLVD,,,SOUTH OZONE PARK,NY,11420,0,nan,,
Queens,749507,Store,JAC,J & M GROCERY CORP,J & M GROCERY,45-01,104TH ST,,,CORONA,NY,11368,0,-73.86018 40.74692,-73.86018,40.74692
Kings,749499,Store,JAC,BAN BE LLC,BAN BE,187,SACKETT ST,,,BROOKLYN,NY,11231,0,-74.00023 40.68437,-74.00023,40.68437
Kings,749497,Store,JAC,R & R FOODS CORP,A-ROD GROCERY,457,MYRTLE AVE,,,BROOKLYN,NY,11205,0,-73.9672 40.69329,-73.9672,40.69329
Bronx,749494,Store,JAC,EL NOVILLO MEAT MARKET CORP,EL NOVILLO MEAT MARKET,214,W 231ST STREET,,,BRONX,NY,10463,0,-73.90547 40.87925,-73.90547,40.87925
Bronx,749470,Store,JACDK,POLLI TRADING INC,POLLI TRADING,1236,EAST GUN HILL RD,,,BRONX,NY,10469,0,-73.85109 40.8725,-73.85109,40.8725
Kings,749461,Store,JAC,STUYVESANT MARKET INC,STUYVESANT MARKET,159,CHAUNCEY ST,,,BROOKLYN,NY,11233,0,-73.92916 40.68045,-73.92916,40.68045
Kings,749453,Store,JAC,24K BUTTER LLC,24K BUTTER,219,ROGERS AVE,,,BROOKLYN,NY,11225,0,-73.95336 40.66888,-73.95336,40.66888
Kings,749444,Store,JAC,SATMAR MEATS DIVISION OF BP INC,SATMAR MEATS DIVISION O,4402,13TH AVE,,,BROOKLYN,NY,11219,6000,-73.98931 40.63772,-73.98931,40.63772
Kings,749438,Store,A,SPS OIL KINGS INC,SPS OIL KINGS,1924,FLATBUSH AVE #34,,,BROOKLYN,NY,11210,0,-73.93696 40.62271,-73.93696,40.62271
New York,749428,Store,JAC,CENTRAL PARK MARKET CORP,CENTRAL PARK MARKET,40,ST NICHOLAS AVE,,,NEW YORK,NY,10026,0,-73.95247 40.79997,-73.95247,40.79997
Queens,749427,Store,JAC,PARROT ORGANIC LLC,PARROT ORGANIC,47-11,QUEENS BLVD,,,SUNNYSIDE,NY,11104,0,-73.91709 40.74314,-73.91709,40.74314
Queens,749413,Store,JAC,HORTONS MARKET LLC,HORTON'S MARKET,14-53,31ST AVENUE #C1,,,ASTORIA,NY,11106,0,-73.93015 40.76745,-73.93015,40.76745
New York,749393,Store,JAC,SANTO ENTIERRO DE XALPATLAHUAC LL,SANTO ENTIERRO DE XALPA,2106,AMSTERDAM AVE,,,NEW YORK,NY,10032,0,-73.93861 40.83754,-73.93861,40.83754
Bronx,749387,Store,JAC,MAHADAV ENTERPRISES INC,238 CORNER STORE,5818,BROADWAY,,,BRONX,NY,10463,0,-73.9007 40.88511,-73.9007,40.88511
Kings,749380,Store,JAC,MAXWELL GIFT AND GROCERY LLC,MAXWELL GIFT AND GROCER,406,MARCUS GARVEY BLVD,,,BROOKLYN,NY,11216,0,-73.93803 40.68297,-73.93803,40.68297
Bronx,749372,Store,JAC,UVERAL MEAT MARKET & GROCERY CORP,UVERAL MEAT MARKET & GR,2558,GRAND CONCOURSE,,,BRONX,NY,10458,0,-73.8959 40.86381,-73.8959,40.86381
Kings,749362,Store,JAC,25 ELM INC,25 ELM,25,ELM PLACE,,,BROOKLYN,NY,11201,0,-73.98442 40.68963,-73.98442,40.68963
Kings,749341,Store,A,SV GREEN MARKET INC,SV GREEN MARKET,769,FRANKLIN AVE,,,BROOKLYN,NY,11238,0,-73.95727 40.67254,-73.95727,40.67254
Kings,749340,Store,JAC,MIN RONG SUPERMARKET INC,MIN RONG SUPERMARKET,5611,8TH AVE,,,BROOKLYN,NY,11220,0,-74.00746 40.63749,-74.00746,40.63749
New York,749317,Store,JAC,ELK NYC LLC THE,THE ELK (AT CLEAN MARKE,250,VESEY ST. SUITE 215,,,NEW YORK,NY,10281,0,-74.01572 40.71453,-74.01572,40.71453
Queens,749282,Store,JAC,TORTILLERIA LA GUADALUPANA CORP,TORTILLERIA LA GUADALUP,104-23,ROOSEVELT AVE,,,CORONA,NY,11368,0,-73.86082 40.75014,-73.86082,40.75014
Kings,749272,Store,JAC,P AND A FOOD MARKET INC,P & A FOOD MARKET,978,RUTLAND RD,,,BROOKLYN,NY,11212,0,-73.92712 40.6622,-73.92712,40.6622
Kings,749246,Store,A,JOYCIE FOODS INC,JOYCIE FOODS,807,AVENUE U,,,BROOKLYN,NY,11223,0,-73.96274 40.59814,-73.96274,40.59814
Queens,749243,Store,JAC,JOO YOUNG CHUN,JS MANAGEMENT,21-15,BROADWAY,,,ASTORIA,NY,11106,0,-73.93106 40.76488,-73.93106,40.76488
Bronx,749222,Store,JAC,GUN HILL GOURMET CORP,GUN HILL GOURMET,234,E GUN HILL ROAD,,,BRONX,NY,10467,0,-73.87656 40.88014,-73.87656,40.88014
